iter	RMSE
0	72736.98198
1	68253.46714
2	64026.63424
3	60772.57242
4	57671.29434
5	54704.37974
6	52384.46501
7	49856.76478
8	47860.30768
9	46014.14808
10	44386.55289
11	42732.7912
12	41074.06717
13	39830.1392
14	38530.53196
15	37281.27464
16	36347.38447
17	35260.54082
18	34307.80978
19	33421.26236
20	32693.50301
21	32045.56745
22	31219.88341
23	30614.04116
24	29928.48531
25	29330.92029
26	28866.25953
27	28321.57262
28	27861.94713
29	27370.25294
30	26893.3355
31	26433.44096
32	25976.29454
33	25591.99602
34	25253.10347
35	24926.59936
36	24655.28214
37	24383.73429
38	24072.33728
39	23659.20936
40	23387.93825
41	23161.39142
42	22891.66439
43	22671.32385
44	22593.08654
45	22381.33337
46	22200.26252
47	22078.50822
48	21985.70193
49	21857.58029
50	21644.1963
51	21445.44202
52	21212.80845
53	21084.01446
54	20891.44863
55	20691.18434
56	20556.69649
57	20487.76644
58	20343.05238
59	20210.69046
60	20012.36618
61	19846.33484
62	19693.19432
63	19653.54628
64	19502.36924
65	19369.75519
66	19268.02497
67	19146.95988
68	19013.64593
69	18928.28078
70	18823.30244
71	18690.89759
72	18589.5178
73	18512.75686
74	18427.80207
75	18283.44365
76	18142.93808
77	17987.70513
78	17890.66876
79	17773.02631
80	17647.51622
81	17562.44783
82	17471.18091
83	17341.00338
84	17288.37131
85	17223.04536
86	17168.36186
87	17061.49408
88	17001.26446
89	16920.91768
90	16851.58623
91	16791.31278
92	16715.65008
93	16629.62509
94	16537.55035
95	16447.63418
96	16377.58221
97	16300.45514
98	16231.25777
99	16213.75924
100	16163.62567
101	16094.57758
102	16026.69179
103	15969.27365
104	15952.02903
105	15873.51246
106	15827.23739
107	15809.60661
108	15747.00125
109	15637.8095
110	15573.26153
111	15533.05356
112	15416.40103
113	15335.41598
114	15252.90923
115	15131.57964
116	15075.41677
117	15018.70555
118	14967.40412
119	14915.11989
120	14829.68526
121	14818.2936
122	14726.08454
123	14716.28757
124	14659.29437
125	14613.05751
126	14571.77236
127	14525.43391
128	14513.55973
129	14486.04922
130	14456.98408
131	14340.19068
132	14330.43446
133	14319.49144
134	14292.27285
135	14207.39431
136	14128.5516
137	14046.5185
138	13987.69043
139	13916.6195
140	13848.78836
141	13787.30753
142	13733.29277
143	13679.82489
144	13669.50637
145	13590.98802
146	13570.55407
147	13530.97081
148	13450.9849
149	13392.28517
150	13322.29154
151	13262.47423
152	13219.13686
153	13164.68643
154	13084.92106
155	13019.76511
156	13016.07624
157	12962.65025
158	12870.36899
159	12798.46417
160	12751.27022
161	12710.71634
162	12703.23949
163	12666.71239
164	12603.20552
165	12522.90184
166	12468.58507
167	12445.01785
168	12403.78259
169	12333.70946
170	12322.13997
171	12278.61201
172	12265.97071
173	12199.26003
174	12174.15595
175	12114.36952
176	12083.04867
177	12036.1527
178	11979.04401
179	11919.50345
180	11890.13809
181	11861.89948
182	11812.19453
183	11730.45969
184	11723.26811
185	11649.44519
186	11593.55249
187	11538.24779
188	11488.46194
189	11433.72505
190	11390.37004
191	11355.73855
192	11307.45939
193	11263.36289
194	11206.81996
195	11154.87423
196	11124.11334
197	11076.15294
198	11040.71575
199	11016.03985
