iter	Passed	Remaining
0	46	9349
1	47	4705
2	48	3154
3	48	2378
4	49	1913
5	49	1602
6	50	1379
7	50	1215
8	51	1088
9	51	984
10	52	898
11	52	827
12	53	766
13	53	714
14	54	670
15	54	630
16	55	596
17	55	565
18	56	537
19	56	512
20	57	490
21	58	470
22	58	450
23	59	433
24	59	416
25	60	401
26	60	387
27	61	374
28	61	362
29	61	351
30	62	340
31	62	330
32	63	321
33	64	312
34	64	304
35	65	296
36	65	288
37	66	281
38	66	274
39	67	268
40	67	261
41	68	256
42	68	250
43	69	244
44	69	239
45	70	234
46	70	229
47	71	225
48	71	221
49	72	216
50	72	212
51	73	208
52	73	204
53	74	200
54	74	197
55	75	193
56	75	190
57	76	186
58	76	183
59	77	180
60	77	177
61	78	174
62	78	171
63	79	168
64	79	166
65	80	163
66	80	160
67	81	158
68	81	155
69	82	153
70	82	150
71	83	148
72	83	146
73	84	143
74	85	141
75	85	139
76	86	137
77	86	135
78	87	133
79	87	131
80	88	129
81	88	127
82	89	125
83	89	123
84	90	121
85	91	120
86	91	119
87	92	117
88	92	115
89	93	113
90	93	112
91	94	110
92	94	108
93	95	107
94	95	105
95	96	104
96	96	102
97	97	101
98	97	99
99	98	98
100	98	96
101	99	95
102	99	93
103	100	92
104	100	91
105	101	89
106	101	88
107	102	86
108	102	85
109	103	84
110	103	83
111	104	81
112	104	80
113	105	79
114	105	78
115	106	76
116	106	75
117	107	74
118	107	73
119	108	72
120	108	71
121	109	69
122	109	68
123	110	67
124	110	66
125	111	65
126	111	64
127	112	63
128	112	62
129	113	61
130	113	59
131	114	58
132	114	57
133	115	56
134	115	55
135	116	54
136	116	53
137	117	52
138	117	51
139	118	50
140	118	49
141	119	48
142	119	47
143	120	46
144	121	45
145	121	45
146	122	44
147	122	43
148	123	42
149	123	41
150	124	40
151	124	39
152	125	38
153	125	37
154	126	36
155	126	35
156	127	34
157	127	33
158	128	33
159	128	32
160	129	31
161	129	30
162	130	29
163	130	28
164	131	27
165	131	27
166	132	26
167	132	25
168	133	24
169	134	23
170	134	22
171	135	21
172	135	21
173	136	20
174	136	19
175	137	18
176	137	17
177	138	17
178	138	16
179	139	15
180	139	14
181	140	13
182	140	13
183	141	12
184	141	11
185	142	10
186	142	9
187	143	9
188	143	8
189	144	7
190	144	6
191	145	6
192	145	5
193	146	4
194	146	3
195	147	3
196	147	2
197	148	1
198	148	0
199	149	0
