Model,Prev_Test_RMSE
LinearRegression,0.12753144570944402
Ridge,0.12751116772047977
LassoCV,0.11672927174781894
ElasticNet,0.11827573551383176
HuberRegressor,0.13402136289396502
RANSAC_Huber,0.1289620933023517
TheilSen,0.1440811837432105
PLSRegression,0.1413816511732131
KNeighborsRegressor,0.1745159242548335
RandomForest,0.1393659656242294
GradientBoosting,0.1381240265324314
XGBoost,0.1401969529947167
BayesianRidge,0.12011396337415707
GPR,11.786861041013676
QuantileRegressor,0.1424594195841134
TweedieRegressor,0.12938347212771092
OrthogonalMatchingPursuit,0.1887094086843364
SGDRegressor,0.21045027702486696
